Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
16,3/11/2020,6:00 PM,Karnataka,4,0,0,0,4
24,3/14/2020,6:00 PM,Karnataka,6,0,0,1,6
30,3/16/2020,6:00 PM,Karnataka,6,0,0,1,6
36,3/18/2020,6:00 PM,Karnataka,11,0,0,1,11
43,3/20/2020,6:00 PM,Karnataka,15,0,1,1,15
57,3/23/2020,6:00 PM,Karnataka,33,0,2,1,33
73,3/26/2020,6:00 PM,Karnataka,55,0,3,2,55
97,3/30/2020,9:30 PM,Karnataka,0,0,5,3,83
103,3/31/2020,8:30 PM,Karnataka,0,0,5,3,83
115,4/2/2020,6:00 PM,Karnataka,0,0,9,3,110
145,4/7/2020,6:00 PM,Karnataka,0,0,25,4,175
169,4/11/2020,5:00 PM,Karnataka,0,0,37,6,214
181,4/13/2020,5:00 PM,Karnataka,0,0,59,6,247
241,4/23/2020,5:00 PM,Karnataka,0,0,141,17,443
253,4/25/2020,5:00 PM,Karnataka,0,0,153,18,489
295,5/2/2020,5:00 PM,Karnataka,0,0,251,22,589
301,5/3/2020,5:00 PM,Karnataka,0,0,282,25,606
319,5/6/2020,8:00 AM,Karnataka,0,0,331,29,671
349,5/11/2020,8:00 AM,Karnataka,0,0,424,31,848
355,5/12/2020,8:00 AM,Karnataka,0,0,426,31,862
379,5/16/2020,8:00 AM,Karnataka,0,0,480,36,1056
385,5/17/2020,8:00 AM,Karnataka,0,0,496,36,1092
415,5/22/2020,8:00 AM,Karnataka,0,0,571,41,1605
421,5/23/2020,8:00 AM,Karnataka,0,0,597,41,1743
427,5/24/2020,8:00 AM,Karnataka,0,0,608,42,1959
475,6/1/2020,8:00 AM,Karnataka,0,0,1218,51,3221
481,6/2/2020,8:00 AM,Karnataka,0,0,1328,52,3408
487,6/3/2020,8:00 AM,Karnataka,0,0,1403,52,3796
493,6/4/2020,8:00 AM,Karnataka,0,0,1514,53,4063
523,6/9/2020,8:00 AM,Karnataka,0,0,2519,64,5760
529,6/10/2020,8:00 AM,Karnataka,0,0,2604,66,5921
535,6/11/2020,8:00 AM,Karnataka,0,0,2862,69,6041
547,6/13/2020,8:00 AM,Karnataka,0,0,3440,79,6516
553,6/14/2020,8:00 AM,Karnataka,0,0,3648,81,6824
571,6/17/2020,8:00 AM,Karnataka,0,0,4456,94,7530
577,6/18/2020,8:00 AM,Karnataka,0,0,4804,102,7734
601,6/22/2020,8:00 AM,Karnataka,0,0,5618,137,9150
661,7/2/2020,8:00 AM,Karnataka,0,0,8063,253,16514
667,7/3/2020,8:00 AM,Karnataka,0,0,8334,272,18016
673,7/4/2020,8:00 AM,Karnataka,0,0,8805,293,19710
679,7/5/2020,8:00 AM,Karnataka,0,0,9244,335,21549
685,7/6/2020,8:00 AM,Karnataka,0,0,9847,372,23474
727,7/13/2020,8:00 AM,Karnataka,0,0,15409,684,38843
739,7/15/2020,8:00 AM,Karnataka,0,0,17390,842,44077
745,7/16/2020,8:00 AM,Karnataka,0,0,18466,928,47253
751,7/17/2020,8:00 AM,Karnataka,0,0,19729,1032,51422
769,7/20/2020,8:00 AM,Karnataka,0,0,23065,1331,63772
