Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
74,3/26/2020,6:00 PM,Madhya Pradesh,20,0,0,1,20
80,3/27/2020,10:00 AM,Madhya Pradesh,20,0,0,1,20
110,4/1/2020,7:30 PM,Madhya Pradesh,0,0,0,3,66
140,4/6/2020,6:00 PM,Madhya Pradesh,0,0,0,9,165
152,4/8/2020,5:00 PM,Madhya Pradesh,0,0,0,13,229
164,4/10/2020,5:00 PM,Madhya Pradesh,0,0,0,16,259
170,4/11/2020,5:00 PM,Madhya Pradesh,0,0,0,33,443
266,4/27/2020,5:00 PM,Madhya Pradesh,0,0,302,106,2168
278,4/29/2020,5:00 PM,Madhya Pradesh,0,0,377,119,2561
290,5/1/2020,5:00 PM,Madhya Pradesh,0,0,482,137,2719
326,5/7/2020,8:00 AM,Madhya Pradesh,0,0,1099,185,3138
356,5/12/2020,8:00 AM,Madhya Pradesh,0,0,1747,221,3785
386,5/17/2020,8:00 AM,Madhya Pradesh,0,0,2315,243,4789
392,5/18/2020,8:00 AM,Madhya Pradesh,0,0,2403,248,4977
410,5/21/2020,8:00 AM,Madhya Pradesh,0,0,2733,267,5735
422,5/23/2020,8:00 AM,Madhya Pradesh,0,0,3089,272,6170
428,5/24/2020,8:00 AM,Madhya Pradesh,0,0,3267,281,6371
470,5/31/2020,8:00 AM,Madhya Pradesh,0,0,4444,343,7891
476,6/1/2020,8:00 AM,Madhya Pradesh,0,0,4842,350,8089
488,6/3/2020,8:00 AM,Madhya Pradesh,0,0,5221,364,8420
518,6/8/2020,8:00 AM,Madhya Pradesh,0,0,6331,412,9401
542,6/12/2020,8:00 AM,Madhya Pradesh,0,0,7042,431,10241
572,6/17/2020,8:00 AM,Madhya Pradesh,0,0,8152,476,11083
578,6/18/2020,8:00 AM,Madhya Pradesh,0,0,8388,482,11244
584,6/19/2020,8:00 AM,Madhya Pradesh,0,0,8632,486,11426
626,6/26/2020,8:00 AM,Madhya Pradesh,0,0,9619,542,12596
680,7/5/2020,8:00 AM,Madhya Pradesh,0,0,11234,598,14604
710,7/10/2020,8:00 AM,Madhya Pradesh,0,0,12232,634,16341
734,7/14/2020,8:00 AM,Madhya Pradesh,0,0,13208,663,18207
752,7/17/2020,8:00 AM,Madhya Pradesh,0,0,14127,689,20378
764,7/19/2020,8:00 AM,Madhya Pradesh,0,0,14864,706,21763
788,7/23/2020,8:00 AM,Madhya Pradesh,0,0,16836,770,24842
824,7/29/2020,8:00 AM,Madhya Pradesh,0,0,20343,830,29217
830,7/30/2020,8:00 AM,Madhya Pradesh,0,0,20934,843,30134
842,8/1/2020,8:00 AM,Madhya Pradesh,0,0,22271,867,31806
848,8/2/2020,8:00 AM,Madhya Pradesh,0,0,22969,876,32614
878,8/7/2020,8:00 AM,Madhya Pradesh,0,0,26902,946,36564
908,8/12/2020,8:00 AM,Madhya Pradesh,0,0,30596,1033,40734
914,8/13/2020,8:00 AM,Madhya Pradesh,0,0,31239,1048,41604
956,8/20/2020,8:00 AM,Madhya Pradesh,0,0,36475,1159,48351
980,8/24/2020,8:00 AM,Madhya Pradesh,0,0,40390,1229,53129
986,8/25/2020,8:00 AM,Madhya Pradesh,0,0,41231,1246,54421
992,8/26/2020,8:00 AM,Madhya Pradesh,0,0,42310,1265,55800
998,8/27/2020,8:00 AM,Madhya Pradesh,0,0,43246,1282,56864
58,3/23/2020,6:00 PM,Madhya Pradesh,6,0,0,0,6
86,3/28/2020,6:00 PM,Madhya Pradesh,30,0,0,2,30
92,3/29/2020,7:30 PM,Madhya Pradesh,0,0,0,2,30
98,3/30/2020,9:30 PM,Madhya Pradesh,0,0,0,3,47
122,4/3/2020,6:00 PM,Madhya Pradesh,0,0,0,6,104
128,4/4/2020,6:00 PM,Madhya Pradesh,0,0,0,6,104
134,4/5/2020,6:00 PM,Madhya Pradesh,0,0,0,9,165
146,4/7/2020,6:00 PM,Madhya Pradesh,0,0,0,13,229
158,4/9/2020,5:00 PM,Madhya Pradesh,0,0,0,16,259
182,4/13/2020,5:00 PM,Madhya Pradesh,0,0,44,43,604
