Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
13,3/10/2020,6:00 PM,Maharashtra,5,0,0,0,5
25,3/14/2020,6:00 PM,Maharashtra,14,0,0,0,14
37,3/18/2020,6:00 PM,Maharashtra,39,3,0,1,42
111,4/1/2020,7:30 PM,Maharashtra,0,0,39,9,302
117,4/2/2020,6:00 PM,Maharashtra,0,0,42,13,335
129,4/4/2020,6:00 PM,Maharashtra,0,0,42,24,490
153,4/8/2020,5:00 PM,Maharashtra,0,0,79,64,1018
171,4/11/2020,5:00 PM,Maharashtra,0,0,188,110,1574
177,4/12/2020,5:00 PM,Maharashtra,0,0,208,127,1761
189,4/14/2020,5:00 PM,Maharashtra,0,0,229,160,2337
213,4/18/2020,5:00 PM,Maharashtra,0,0,331,201,3323
219,4/19/2020,5:00 PM,Maharashtra,0,0,365,211,3651
267,4/27/2020,5:00 PM,Maharashtra,0,0,1188,342,8068
285,4/30/2020,5:00 PM,Maharashtra,0,0,1593,432,9915
291,5/1/2020,5:00 PM,Maharashtra,0,0,1773,459,10498
297,5/2/2020,5:00 PM,Maharashtra,0,0,1879,485,11506
303,5/3/2020,5:00 PM,Maharashtra,0,0,2000,521,12296
321,5/6/2020,8:00 AM,Maharashtra,0,0,2819,617,15525
333,5/8/2020,8:00 AM,Maharashtra,0,0,3301,694,17974
339,5/9/2020,8:00 AM,Maharashtra,0,0,3470,731,19063
387,5/17/2020,8:00 AM,Maharashtra,0,0,7088,1135,30706
411,5/21/2020,8:00 AM,Maharashtra,0,0,10318,1390,39297
435,5/25/2020,8:00 AM,Maharashtra,0,0,14600,1635,50231
477,6/1/2020,8:00 AM,Maharashtra,0,0,29329,2286,67655
483,6/2/2020,8:00 AM,Maharashtra,0,0,30108,2362,70013
501,6/5/2020,8:00 AM,Maharashtra,0,0,33681,2710,77793
513,6/7/2020,8:00 AM,Maharashtra,0,0,37390,2969,82968
531,6/10/2020,8:00 AM,Maharashtra,0,0,42638,3289,90787
543,6/12/2020,8:00 AM,Maharashtra,0,0,46078,3590,97648
561,6/15/2020,8:00 AM,Maharashtra,0,0,50978,3950,107958
567,6/16/2020,8:00 AM,Maharashtra,0,0,56049,4128,110744
585,6/19/2020,8:00 AM,Maharashtra,0,0,60838,5751,120504
609,6/23/2020,8:00 AM,Maharashtra,0,0,67706,6283,135796
627,6/26/2020,8:00 AM,Maharashtra,0,0,77453,6931,147741
639,6/28/2020,8:00 AM,Maharashtra,0,0,84245,7273,159133
657,7/1/2020,8:00 AM,Maharashtra,0,0,90911,7855,174761
663,7/2/2020,8:00 AM,Maharashtra,0,0,93154,8053,180298
669,7/3/2020,8:00 AM,Maharashtra,0,0,101172,8178,186626
693,7/7/2020,8:00 AM,Maharashtra,0,0,115262,9026,211987
705,7/9/2020,8:00 AM,Maharashtra,0,0,123192,9448,223724
723,7/12/2020,8:00 AM,Maharashtra,0,0,136985,10116,246600
771,7/20/2020,8:00 AM,Maharashtra,0,0,169569,11854,310455
783,7/22/2020,8:00 AM,Maharashtra,0,0,182217,12276,327031
795,7/24/2020,8:00 AM,Maharashtra,0,0,194253,12854,347502
807,7/26/2020,8:00 AM,Maharashtra,0,0,207194,13389,366368
861,8/4/2020,8:00 AM,Maharashtra,0,0,287030,15842,450196
873,8/6/2020,8:00 AM,Maharashtra,0,0,305521,16476,468265
879,8/7/2020,8:00 AM,Maharashtra,0,0,316375,16792,479779
891,8/9/2020,8:00 AM,Maharashtra,0,0,338362,17367,503084
933,8/16/2020,8:00 AM,Maharashtra,0,0,408286,19749,584754
945,8/18/2020,8:00 AM,Maharashtra,0,0,428514,20265,604358
999,8/27/2020,8:00 AM,Maharashtra,0,0,522427,23089,718711
14,3/11/2020,6:00 PM,Maharashtra,2,0,0,0,2
19,3/12/2020,6:00 PM,Maharashtra,11,0,0,0,11
28,3/15/2020,6:00 PM,Maharashtra,32,0,0,0,32
44,3/20/2020,6:00 PM,Maharashtra,49,3,0,1,52
54,3/22/2020,6:00 PM,Maharashtra,64,3,0,2,67
59,3/23/2020,6:00 PM,Maharashtra,71,3,0,2,74
64,3/24/2020,6:00 PM,Maharashtra,86,3,0,2,89
75,3/26/2020,6:00 PM,Maharashtra,121,3,1,3,124
81,3/27/2020,10:00 AM,Maharashtra,127,3,15,4,130
99,3/30/2020,9:30 PM,Maharashtra,0,0,25,8,198
105,3/31/2020,8:30 PM,Maharashtra,0,0,39,9,216
123,4/3/2020,6:00 PM,Maharashtra,0,0,42,16,335
135,4/5/2020,6:00 PM,Maharashtra,0,0,42,24,490
141,4/6/2020,6:00 PM,Maharashtra,0,0,56,45,748
147,4/7/2020,6:00 PM,Maharashtra,0,0,56,48,868
159,4/9/2020,5:00 PM,Maharashtra,0,0,117,72,1135
165,4/10/2020,5:00 PM,Maharashtra,0,0,125,97,1364
183,4/13/2020,5:00 PM,Maharashtra,0,0,217,149,1985
195,4/15/2020,5:00 PM,Maharashtra,0,0,259,178,2687
201,4/16/2020,5:00 PM,Maharashtra,0,0,295,187,2919
207,4/17/2020,5:00 PM,Maharashtra,0,0,300,194,3205
231,4/21/2020,5:00 PM,Maharashtra,0,0,572,232,4669
237,4/22/2020,5:00 PM,Maharashtra,0,0,722,251,5221
249,4/24/2020,5:00 PM,Maharashtra,0,0,840,283,6430
261,4/26/2020,5:00 PM,Maharashtra,0,0,1076,323,7628
273,4/28/2020,5:00 PM,Maharashtra,0,0,1282,369,8590
315,5/5/2020,5:00 PM,Maharashtra,0,0,2465,583,14541
351,5/11/2020,8:00 AM,Maharashtra,0,0,4199,832,22171
357,5/12/2020,8:00 AM,Maharashtra,0,0,4786,868,23401
369,5/14/2020,8:00 AM,Maharashtra,0,0,5547,975,25922
381,5/16/2020,8:00 AM,Maharashtra,0,0,6564,1068,29100
393,5/18/2020,8:00 AM,Maharashtra,0,0,7688,1198,33053
423,5/23/2020,8:00 AM,Maharashtra,0,0,12583,1517,44582
429,5/24/2020,8:00 AM,Maharashtra,0,0,13404,1577,47190
441,5/26/2020,8:00 AM,Maharashtra,0,0,15786,1695,52667
447,5/27/2020,8:00 AM,Maharashtra,0,0,16954,1792,54758
459,5/29/2020,8:00 AM,Maharashtra,0,0,18616,1982,59546
465,5/30/2020,8:00 AM,Maharashtra,0,0,26997,2098,62228
471,5/31/2020,8:00 AM,Maharashtra,0,0,28081,2197,65168
489,6/3/2020,8:00 AM,Maharashtra,0,0,31333,2465,72300
495,6/4/2020,8:00 AM,Maharashtra,0,0,32329,2587,74860
507,6/6/2020,8:00 AM,Maharashtra,0,0,35156,2849,80229
537,6/11/2020,8:00 AM,Maharashtra,0,0,44517,3438,94041
573,6/17/2020,8:00 AM,Maharashtra,0,0,57851,5537,113445
633,6/27/2020,8:00 AM,Maharashtra,0,0,79815,7106,152765
645,6/29/2020,8:00 AM,Maharashtra,0,0,86575,7429,164626
681,7/5/2020,8:00 AM,Maharashtra,0,0,108082,8671,200064
711,7/10/2020,8:00 AM,Maharashtra,0,0,127259,9667,230599
735,7/14/2020,8:00 AM,Maharashtra,0,0,144507,10482,260924
741,7/15/2020,8:00 AM,Maharashtra,0,0,149007,10695,267665
765,7/19/2020,8:00 AM,Maharashtra,0,0,165663,11596,300937
777,7/21/2020,8:00 AM,Maharashtra,0,0,175029,12030,318695
801,7/25/2020,8:00 AM,Maharashtra,0,0,199967,13132,357117
825,7/29/2020,8:00 AM,Maharashtra,0,0,232277,14165,391440
897,8/10/2020,8:00 AM,Maharashtra,0,0,351710,17757,515332
915,8/13/2020,8:00 AM,Maharashtra,0,0,381843,18650,548313
921,8/14/2020,8:00 AM,Maharashtra,0,0,390958,19063,560126
927,8/15/2020,8:00 AM,Maharashtra,0,0,401442,19427,572734
963,8/21/2020,8:00 AM,Maharashtra,0,0,459124,21359,643289
987,8/25/2020,8:00 AM,Maharashtra,0,0,502490,22465,693398
9,3/9/2020,6:00 PM,Maharashtra,2,0,0,0,2
22,3/13/2020,6:00 PM,Maharashtra,14,0,0,0,14
31,3/16/2020,6:00 PM,Maharashtra,32,0,0,0,32
34,3/17/2020,6:00 PM,Maharashtra,36,3,0,1,39
40,3/19/2020,6:00 PM,Maharashtra,44,3,0,1,47
49,3/21/2020,6:00 PM,Maharashtra,60,3,0,1,63
69,3/25/2020,6:00 PM,Maharashtra,125,3,1,3,128
87,3/28/2020,6:00 PM,Maharashtra,177,3,25,5,180
93,3/29/2020,7:30 PM,Maharashtra,0,0,25,6,186
225,4/20/2020,5:00 PM,Maharashtra,0,0,507,223,4203
243,4/23/2020,5:00 PM,Maharashtra,0,0,789,269,5652
255,4/25/2020,5:00 PM,Maharashtra,0,0,957,301,6817
279,4/29/2020,5:00 PM,Maharashtra,0,0,1388,400,9318
309,5/4/2020,5:00 PM,Maharashtra,0,0,2115,548,12974
327,5/7/2020,8:00 AM,Maharashtra,0,0,3094,651,16758
345,5/10/2020,8:00 AM,Maharashtra,0,0,3800,779,20228
363,5/13/2020,8:00 AM,Maharashtra,0,0,5125,921,24427
375,5/15/2020,8:00 AM,Maharashtra,0,0,6059,1019,27524
399,5/19/2020,8:00 AM,Maharashtra,0,0,8437,1249,35058
405,5/20/2020,8:00 AM,Maharashtra,0,0,9639,1325,37136
417,5/22/2020,8:00 AM,Maharashtra,0,0,11726,1454,41642
453,5/28/2020,8:00 AM,Maharashtra,0,0,17918,1897,56948
519,6/8/2020,8:00 AM,Maharashtra,0,0,39314,3060,85975
525,6/9/2020,8:00 AM,Maharashtra,0,0,40975,3169,88528
549,6/13/2020,8:00 AM,Maharashtra,0,0,47796,3717,101141
555,6/14/2020,8:00 AM,Maharashtra,0,0,49346,3830,104568
579,6/18/2020,8:00 AM,Maharashtra,0,0,59166,5651,116752
591,6/20/2020,8:00 AM,Maharashtra,0,0,62773,5893,124331
597,6/21/2020,8:00 AM,Maharashtra,0,0,64153,5984,128205
603,6/22/2020,8:00 AM,Maharashtra,0,0,65744,6170,132075
615,6/24/2020,8:00 AM,Maharashtra,0,0,69631,6531,139010
621,6/25/2020,8:00 AM,Maharashtra,0,0,73792,6739,142900
651,6/30/2020,8:00 AM,Maharashtra,0,0,88960,7610,169883
675,7/4/2020,8:00 AM,Maharashtra,0,0,104687,8376,192990
687,7/6/2020,8:00 AM,Maharashtra,0,0,111740,8822,206619
699,7/8/2020,8:00 AM,Maharashtra,0,0,118558,9250,217121
717,7/11/2020,8:00 AM,Maharashtra,0,0,132625,9893,238461
729,7/13/2020,8:00 AM,Maharashtra,0,0,140325,10289,254427
747,7/16/2020,8:00 AM,Maharashtra,0,0,152613,10928,275640
753,7/17/2020,8:00 AM,Maharashtra,0,0,158140,11194,284281
759,7/18/2020,8:00 AM,Maharashtra,0,0,160357,11452,292589
789,7/23/2020,8:00 AM,Maharashtra,0,0,187769,12556,337607
813,7/27/2020,8:00 AM,Maharashtra,0,0,213238,13656,375799
819,7/28/2020,8:00 AM,Maharashtra,0,0,221944,13883,383723
831,7/30/2020,8:00 AM,Maharashtra,0,0,239755,14463,400651
837,7/31/2020,8:00 AM,Maharashtra,0,0,248615,14729,411798
843,8/1/2020,8:00 AM,Maharashtra,0,0,256158,14994,422118
849,8/2/2020,8:00 AM,Maharashtra,0,0,266883,15316,431719
855,8/3/2020,8:00 AM,Maharashtra,0,0,276809,15576,441228
867,8/5/2020,8:00 AM,Maharashtra,0,0,299356,16142,457956
885,8/8/2020,8:00 AM,Maharashtra,0,0,327281,17092,490262
903,8/11/2020,8:00 AM,Maharashtra,0,0,358421,18050,524513
909,8/12/2020,8:00 AM,Maharashtra,0,0,368435,18306,535601
939,8/17/2020,8:00 AM,Maharashtra,0,0,417123,20037,595865
951,8/19/2020,8:00 AM,Maharashtra,0,0,437870,20687,615477
957,8/20/2020,8:00 AM,Maharashtra,0,0,446881,21033,628642
969,8/22/2020,8:00 AM,Maharashtra,0,0,470873,21698,657450
975,8/23/2020,8:00 AM,Maharashtra,0,0,480114,21995,671942
981,8/24/2020,8:00 AM,Maharashtra,0,0,488271,22253,682383
993,8/26/2020,8:00 AM,Maharashtra,0,0,514790,22794,703823
