Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
1,3/2/2020,6:00 PM,Delhi,1,0,0,0,1
2,3/3/2020,6:00 PM,Delhi,1,0,0,0,1
3,3/4/2020,6:00 PM,Delhi,1,0,0,0,1
4,3/5/2020,6:00 PM,Delhi,2,0,0,0,2
5,3/6/2020,6:00 PM,Delhi,3,0,0,0,3
6,3/7/2020,6:00 PM,Delhi,3,0,0,0,3
7,3/8/2020,6:00 PM,Delhi,3,0,0,0,3
8,3/9/2020,6:00 PM,Karnataka,1,0,0,0,1
9,3/9/2020,6:00 PM,Maharashtra,2,0,0,0,2
10,3/9/2020,6:00 PM,Delhi,4,0,0,0,4
11,3/10/2020,6:00 PM,Delhi,4,0,0,0,4
12,3/10/2020,6:00 PM,Karnataka,4,0,0,0,4
13,3/10/2020,6:00 PM,Maharashtra,5,0,0,0,5
14,3/11/2020,6:00 PM,Maharashtra,2,0,0,0,2
15,3/11/2020,6:00 PM,Delhi,5,0,0,0,5
16,3/11/2020,6:00 PM,Karnataka,4,0,0,0,4
17,3/12/2020,6:00 PM,Delhi,6,0,0,0,6
18,3/12/2020,6:00 PM,Karnataka,4,0,0,0,4
19,3/12/2020,6:00 PM,Maharashtra,11,0,0,0,11
20,3/13/2020,6:00 PM,Delhi,6,0,0,0,6
21,3/13/2020,6:00 PM,Karnataka,6,0,0,1,6
22,3/13/2020,6:00 PM,Maharashtra,14,0,0,0,14
23,3/14/2020,6:00 PM,Delhi,7,0,1,1,7
24,3/14/2020,6:00 PM,Karnataka,6,0,0,1,6
25,3/14/2020,6:00 PM,Maharashtra,14,0,0,0,14
26,3/15/2020,6:00 PM,Delhi,7,0,2,1,7
27,3/15/2020,6:00 PM,Karnataka,6,0,0,1,6
28,3/15/2020,6:00 PM,Maharashtra,32,0,0,0,32
29,3/16/2020,6:00 PM,Delhi,7,0,2,1,7
30,3/16/2020,6:00 PM,Karnataka,6,0,0,1,6
31,3/16/2020,6:00 PM,Maharashtra,32,0,0,0,32
32,3/17/2020,6:00 PM,Delhi,8,0,2,1,8
33,3/17/2020,6:00 PM,Karnataka,11,0,0,1,11
34,3/17/2020,6:00 PM,Maharashtra,36,3,0,1,39
35,3/18/2020,6:00 PM,Delhi,9,1,2,1,10
36,3/18/2020,6:00 PM,Karnataka,11,0,0,1,11
37,3/18/2020,6:00 PM,Maharashtra,39,3,0,1,42
38,3/19/2020,6:00 PM,Delhi,11,1,3,1,12
39,3/19/2020,6:00 PM,Karnataka,14,0,0,1,14
40,3/19/2020,6:00 PM,Maharashtra,44,3,0,1,47
41,3/20/2020,6:00 PM,Delhi,16,1,5,1,17
42,3/20/2020,6:00 PM,Gujarat,5,0,0,0,5
43,3/20/2020,6:00 PM,Karnataka,15,0,1,1,15
44,3/20/2020,6:00 PM,Maharashtra,49,3,0,1,52
45,3/21/2020,6:00 PM,Delhi,25,1,5,1,26
46,3/21/2020,6:00 PM,Gujarat,7,0,0,0,7
47,3/21/2020,6:00 PM,Karnataka,15,0,1,1,15
48,3/21/2020,6:00 PM,Madhya Pradesh,4,0,0,0,4
49,3/21/2020,6:00 PM,Maharashtra,60,3,0,1,63
50,3/22/2020,6:00 PM,Delhi,28,1,5,1,29
51,3/22/2020,6:00 PM,Gujarat,18,0,0,1,18
52,3/22/2020,6:00 PM,Karnataka,26,0,2,1,26
53,3/22/2020,6:00 PM,Madhya Pradesh,4,0,0,0,4
54,3/22/2020,6:00 PM,Maharashtra,64,3,0,2,67
55,3/23/2020,6:00 PM,Delhi,28,1,5,1,29
56,3/23/2020,6:00 PM,Gujarat,29,0,0,1,29
57,3/23/2020,6:00 PM,Karnataka,33,0,2,1,33
58,3/23/2020,6:00 PM,Madhya Pradesh,6,0,0,0,6
59,3/23/2020,6:00 PM,Maharashtra,71,3,0,2,74
60,3/24/2020,6:00 PM,Delhi,29,1,6,1,30
61,3/24/2020,6:00 PM,Gujarat,32,1,0,1,33
62,3/24/2020,6:00 PM,Karnataka,37,0,3,1,37
63,3/24/2020,6:00 PM,Madhya Pradesh,7,0,0,0,7
64,3/24/2020,6:00 PM,Maharashtra,86,3,0,2,89
65,3/25/2020,6:00 PM,Delhi,30,1,6,1,31
66,3/25/2020,6:00 PM,Gujarat,37,1,0,1,38
67,3/25/2020,6:00 PM,Karnataka,41,0,3,1,41
68,3/25/2020,6:00 PM,Madhya Pradesh,14,0,0,0,14
69,3/25/2020,6:00 PM,Maharashtra,125,3,1,3,128
70,3/26/2020,6:00 PM,Delhi,35,1,6,1,36
71,3/26/2020,6:00 PM,Goa,3,0,0,0,3
72,3/26/2020,6:00 PM,Gujarat,42,1,0,3,43
73,3/26/2020,6:00 PM,Karnataka,55,0,3,2,55
74,3/26/2020,6:00 PM,Madhya Pradesh,20,0,0,1,20
75,3/26/2020,6:00 PM,Maharashtra,121,3,1,3,124
76,3/27/2020,10:00 AM,Delhi,35,1,6,1,36
77,3/27/2020,10:00 AM,Goa,3,0,0,0,3
78,3/27/2020,10:00 AM,Gujarat,42,1,0,3,43
79,3/27/2020,10:00 AM,Karnataka,55,0,3,2,55
80,3/27/2020,10:00 AM,Madhya Pradesh,20,0,0,1,20
81,3/27/2020,10:00 AM,Maharashtra,127,3,15,4,130
82,3/28/2020,6:00 PM,Delhi,38,1,6,1,39
83,3/28/2020,6:00 PM,Goa,3,0,0,0,3
84,3/28/2020,6:00 PM,Gujarat,44,1,0,3,45
85,3/28/2020,6:00 PM,Karnataka,55,0,3,2,55
86,3/28/2020,6:00 PM,Madhya Pradesh,30,0,0,2,30
87,3/28/2020,6:00 PM,Maharashtra,177,3,25,5,180
88,3/29/2020,7:30 PM,Delhi,0,0,6,2,49
89,3/29/2020,7:30 PM,Goa,0,0,0,0,5
90,3/29/2020,7:30 PM,Gujarat,0,0,1,5,58
91,3/29/2020,7:30 PM,Karnataka,0,0,5,3,76
92,3/29/2020,7:30 PM,Madhya Pradesh,0,0,0,2,30
93,3/29/2020,7:30 PM,Maharashtra,0,0,25,6,186
94,3/30/2020,9:30 PM,Delhi,0,0,6,2,87
95,3/30/2020,9:30 PM,Goa,0,0,0,0,5
96,3/30/2020,9:30 PM,Gujarat,0,0,1,6,69
97,3/30/2020,9:30 PM,Karnataka,0,0,5,3,83
98,3/30/2020,9:30 PM,Madhya Pradesh,0,0,0,3,47
99,3/30/2020,9:30 PM,Maharashtra,0,0,25,8,198
