Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
1,3/2/2020,6:00 PM,Delhi,1,0,0,0,1
3,3/4/2020,6:00 PM,Delhi,1,0,0,0,1
4,3/5/2020,6:00 PM,Delhi,2,0,0,0,2
11,3/10/2020,6:00 PM,Delhi,4,0,0,0,4
15,3/11/2020,6:00 PM,Delhi,5,0,0,0,5
20,3/13/2020,6:00 PM,Delhi,6,0,0,0,6
23,3/14/2020,6:00 PM,Delhi,7,0,1,1,7
45,3/21/2020,6:00 PM,Delhi,25,1,5,1,26
65,3/25/2020,6:00 PM,Delhi,30,1,6,1,31
82,3/28/2020,6:00 PM,Delhi,38,1,6,1,39
94,3/30/2020,9:30 PM,Delhi,0,0,6,2,87
112,4/2/2020,6:00 PM,Delhi,0,0,8,4,219
124,4/4/2020,6:00 PM,Delhi,0,0,15,6,445
148,4/8/2020,5:00 PM,Delhi,0,0,21,9,576
160,4/10/2020,5:00 PM,Delhi,0,0,25,13,898
166,4/11/2020,5:00 PM,Delhi,0,0,25,14,903
196,4/16/2020,5:00 PM,Delhi,0,0,42,32,1578
202,4/17/2020,5:00 PM,Delhi,0,0,51,38,1640
214,4/19/2020,5:00 PM,Delhi,0,0,72,43,1893
232,4/22/2020,5:00 PM,Delhi,0,0,611,47,2156
256,4/26/2020,5:00 PM,Delhi,0,0,869,54,2625
262,4/27/2020,5:00 PM,Delhi,0,0,877,54,2918
268,4/28/2020,5:00 PM,Delhi,0,0,877,54,3108
274,4/29/2020,5:00 PM,Delhi,0,0,1078,54,3314
280,4/30/2020,5:00 PM,Delhi,0,0,1092,56,3439
304,5/4/2020,5:00 PM,Delhi,0,0,1362,64,4549
334,5/9/2020,8:00 AM,Delhi,0,0,2020,68,6318
346,5/11/2020,8:00 AM,Delhi,0,0,2069,73,6923
376,5/16/2020,8:00 AM,Delhi,0,0,3518,123,8895
388,5/18/2020,8:00 AM,Delhi,0,0,4485,160,10054
466,5/31/2020,8:00 AM,Delhi,0,0,8075,416,18549
478,6/2/2020,8:00 AM,Delhi,0,0,8746,523,20834
502,6/6/2020,8:00 AM,Delhi,0,0,10315,708,26334
532,6/11/2020,8:00 AM,Delhi,0,0,12245,984,32810
556,6/15/2020,8:00 AM,Delhi,0,0,15823,1327,41182
580,6/19/2020,8:00 AM,Delhi,0,0,21341,1969,49979
592,6/21/2020,8:00 AM,Delhi,0,0,31294,2112,56746
646,6/30/2020,8:00 AM,Delhi,0,0,56235,2680,85161
658,7/2/2020,8:00 AM,Delhi,0,0,59992,2803,89802
676,7/5/2020,8:00 AM,Delhi,0,0,68256,3004,97200
682,7/6/2020,8:00 AM,Delhi,0,0,71339,3067,99444
694,7/8/2020,8:00 AM,Delhi,0,0,74217,3165,102831
700,7/9/2020,8:00 AM,Delhi,0,0,78199,3213,104864
742,7/16/2020,8:00 AM,Delhi,0,0,95699,3487,116993
760,7/19/2020,8:00 AM,Delhi,0,0,101274,3597,121582
766,7/20/2020,8:00 AM,Delhi,0,0,103134,3628,122793
772,7/21/2020,8:00 AM,Delhi,0,0,104918,3663,123747
784,7/23/2020,8:00 AM,Delhi,0,0,107650,3719,126323
802,7/26/2020,8:00 AM,Delhi,0,0,113068,3806,129531
826,7/30/2020,8:00 AM,Delhi,0,0,118633,3907,133310
832,7/31/2020,8:00 AM,Delhi,0,0,119724,3936,134403
874,8/7/2020,8:00 AM,Delhi,0,0,127124,4059,141531
880,8/8/2020,8:00 AM,Delhi,0,0,128232,4082,142723
892,8/10/2020,8:00 AM,Delhi,0,0,130587,4111,145427
958,8/21/2020,8:00 AM,Delhi,0,0,141826,4257,157354
5,3/6/2020,6:00 PM,Delhi,3,0,0,0,3
6,3/7/2020,6:00 PM,Delhi,3,0,0,0,3
17,3/12/2020,6:00 PM,Delhi,6,0,0,0,6
26,3/15/2020,6:00 PM,Delhi,7,0,2,1,7
32,3/17/2020,6:00 PM,Delhi,8,0,2,1,8
41,3/20/2020,6:00 PM,Delhi,16,1,5,1,17
50,3/22/2020,6:00 PM,Delhi,28,1,5,1,29
55,3/23/2020,6:00 PM,Delhi,28,1,5,1,29
60,3/24/2020,6:00 PM,Delhi,29,1,6,1,30
70,3/26/2020,6:00 PM,Delhi,35,1,6,1,36
76,3/27/2020,10:00 AM,Delhi,35,1,6,1,36
88,3/29/2020,7:30 PM,Delhi,0,0,6,2,49
100,3/31/2020,8:30 PM,Delhi,0,0,6,2,97
142,4/7/2020,6:00 PM,Delhi,0,0,21,7,576
178,4/13/2020,5:00 PM,Delhi,0,0,27,24,1154
