Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
51,3/22/2020,6:00 PM,Gujarat,18,0,0,1,18
56,3/23/2020,6:00 PM,Gujarat,29,0,0,1,29
78,3/27/2020,10:00 AM,Gujarat,42,1,0,3,43
83,3/28/2020,6:00 PM,Goa,3,0,0,0,3
95,3/30/2020,9:30 PM,Goa,0,0,0,0,5
101,3/31/2020,8:30 PM,Goa,0,0,0,0,5
126,4/4/2020,6:00 PM,Gujarat,0,0,14,10,105
131,4/5/2020,6:00 PM,Goa,0,0,0,0,7
149,4/8/2020,5:00 PM,Goa,0,0,0,0,7
150,4/8/2020,5:00 PM,Gujarat,0,0,25,13,165
173,4/12/2020,5:00 PM,Goa,0,0,5,0,7
174,4/12/2020,5:00 PM,Gujarat,0,0,44,22,432
179,4/13/2020,5:00 PM,Goa,0,0,5,0,7
186,4/14/2020,5:00 PM,Gujarat,0,0,55,26,617
192,4/15/2020,5:00 PM,Gujarat,0,0,59,30,695
197,4/16/2020,5:00 PM,Goa,0,0,5,0,7
204,4/17/2020,5:00 PM,Gujarat,0,0,74,38,1021
210,4/18/2020,5:00 PM,Gujarat,0,0,88,48,1272
215,4/19/2020,5:00 PM,Goa,0,0,6,0,7
227,4/21/2020,5:00 PM,Goa,0,0,7,0,7
233,4/22/2020,5:00 PM,Goa,0,0,7,0,7
234,4/22/2020,5:00 PM,Gujarat,0,0,144,95,2272
252,4/25/2020,5:00 PM,Gujarat,0,0,265,127,2815
258,4/26/2020,5:00 PM,Gujarat,0,0,282,133,3071
299,5/3/2020,5:00 PM,Goa,0,0,7,0,7
311,5/5/2020,5:00 PM,Goa,0,0,7,0,7
312,5/5/2020,5:00 PM,Gujarat,0,0,1195,319,5804
330,5/8/2020,8:00 AM,Gujarat,0,0,1709,425,7012
336,5/9/2020,8:00 AM,Gujarat,0,0,1872,449,7402
341,5/10/2020,8:00 AM,Goa,0,0,7,0,7
347,5/11/2020,8:00 AM,Goa,0,0,7,0,7
